check,pass,detail
preflight_manifest_file_hash,true,3993dde79ece90062bc1303d9e0de3b0016ec6572ab1c1fc6491f9d1cff0bc6c
preflight_allowlist_file_hash,true,3a773f39b41f26f3ce1e077053c58c37c8f7fd6486f78303688b2ec9197067eb
preflight_validation_hash,true,7690437868942ff1cae8eae6af60bf28b94ed82f9fecc5f8941e683b070bc15b
static_consistency_pass,true,STATIC_CONSISTENCY_PASS
file_count_114,true,114
total_bytes_exact,true,6925795437
byte_cap_not_exceeded,true,6995053391
md5_112,true,112
sha256_114,true,114
host_downloads_dbpedia_org_only,true,downloads.dbpedia.org
no_decompress,true,false
no_rdf,true,false
no_docker,true,false
no_virtuoso,true,false
no_sparql,true,false
cost_zero,true,0.00
auth_consumed,true,AUTH_DBPEDIA2016_10_ACQ_20260722T134313Z_EMO_01
payloads_gitignored,true,workdir/
final_status,true,ACQUISITION_PASS
