file_id,path,expected_size,actual_size,size_match,exists,mode,mtime_utc,status
CORE_EN_001,core-i18n/en/article_categories_en.ttl.bz2,236365092,236365092,True,True,0o644,2026-07-22T13:58:02Z,OK
CORE_EN_002,core-i18n/en/category_labels_en.ttl.bz2,17447841,17447841,True,True,0o644,2026-07-22T13:58:03Z,OK
CORE_EN_003,core-i18n/en/disambiguations_en.ttl.bz2,13344953,13344953,True,True,0o644,2026-07-22T13:58:04Z,OK
CORE_EN_004,core-i18n/en/external_links_en.ttl.bz2,167510717,167510717,True,True,0o644,2026-07-22T13:58:10Z,OK
CORE_EN_005,core-i18n/en/freebase_links_en.ttl.bz2,85282055,85282055,True,True,0o644,2026-07-22T13:58:13Z,OK
CORE_EN_006,core-i18n/en/geo_coordinates_en.ttl.bz2,17598860,17598860,True,True,0o644,2026-07-22T13:58:14Z,OK
CORE_EN_007,core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,17379613,17379613,True,True,0o644,2026-07-22T13:58:15Z,OK
CORE_EN_008,core-i18n/en/geonames_links_en.ttl.bz2,4010348,4010348,True,True,0o644,2026-07-22T13:58:15Z,OK
CORE_EN_009,core-i18n/en/homepages_en.ttl.bz2,12326604,12326604,True,True,0o644,2026-07-22T13:58:16Z,OK
CORE_EN_010,core-i18n/en/images_en.ttl.bz2,94728001,94728001,True,True,0o644,2026-07-22T13:58:20Z,OK
CORE_EN_011,core-i18n/en/infobox_properties_en.ttl.bz2,492733142,492733142,True,True,0o644,2026-07-22T13:58:35Z,OK
CORE_EN_012,core-i18n/en/infobox_property_definitions_en.ttl.bz2,788573,788573,True,True,0o644,2026-07-22T13:58:35Z,OK
CORE_EN_013,core-i18n/en/instance_types_en.ttl.bz2,42351931,42351931,True,True,0o644,2026-07-22T13:58:37Z,OK
CORE_EN_014,core-i18n/en/instance_types_transitive_en.ttl.bz2,131023326,131023326,True,True,0o644,2026-07-22T13:58:41Z,OK
CORE_EN_015,core-i18n/en/interlanguage_links_chapters_en.ttl.bz2,187246960,187246960,True,True,0o644,2026-07-22T13:58:47Z,OK
CORE_EN_016,core-i18n/en/labels_en.ttl.bz2,190221571,190221571,True,True,0o644,2026-07-22T13:58:53Z,OK
CORE_EN_017,core-i18n/en/long_abstracts_en.ttl.bz2,818348209,818348209,True,True,0o644,2026-07-22T14:01:20Z,OK
CORE_EN_018,core-i18n/en/mappingbased_literals_en.ttl.bz2,137316236,137316236,True,True,0o644,2026-07-22T14:01:41Z,OK
CORE_EN_019,core-i18n/en/mappingbased_objects_en.ttl.bz2,172372141,172372141,True,True,0o644,2026-07-22T14:01:50Z,OK
CORE_EN_020,core-i18n/en/page_ids_en.ttl.bz2,175257242,175257242,True,True,0o644,2026-07-22T14:03:28Z,OK
CORE_EN_021,core-i18n/en/persondata_en.ttl.bz2,66513289,66513289,True,True,0o644,2026-07-22T14:04:34Z,OK
CORE_EN_022,core-i18n/en/revision_ids_en.ttl.bz2,197916335,197916335,True,True,0o644,2026-07-22T14:05:34Z,OK
CORE_EN_023,core-i18n/en/revision_uris_en.ttl.bz2,261380021,261380021,True,True,0o644,2026-07-22T14:05:45Z,OK
CORE_EN_024,core-i18n/en/short_abstracts_en.ttl.bz2,547637274,547637274,True,True,0o644,2026-07-22T14:05:47Z,OK
CORE_EN_025,core-i18n/en/skos_categories_en.ttl.bz2,45681114,45681114,True,True,0o644,2026-07-22T14:05:49Z,OK
CORE_EN_026,core-i18n/en/specific_mappingbased_properties_en.ttl.bz2,9150864,9150864,True,True,0o644,2026-07-22T14:05:50Z,OK
CORE_EN_027,core-i18n/en/transitive_redirects_en.ttl.bz2,108901507,108901507,True,True,0o644,2026-07-22T14:05:54Z,OK
CORE_EN_028,core-i18n/en/uri_same_as_iri_en.ttl.bz2,16221273,16221273,True,True,0o644,2026-07-22T14:05:54Z,OK
CORE_EN_029,core-i18n/en/wikipedia_links_en.ttl.bz2,317184934,317184934,True,True,0o644,2026-07-22T14:06:04Z,OK
LHD_001,core-i18n/en/instance_types_lhd_dbo_en.ttl.bz2,39643080,39643080,True,True,0o644,2026-07-22T14:06:06Z,OK
LHD_002,core-i18n/en/instance_types_lhd_ext_en.ttl.bz2,46325495,46325495,True,True,0o644,2026-07-22T14:06:08Z,OK
LINKS_001,links/amsterdammuseum.nt.bz2,6725,6725,True,True,0o644,2026-07-22T14:06:08Z,OK
LINKS_002,links/bbc-things_links.nt.bz2,119963,119963,True,True,0o644,2026-07-22T14:06:08Z,OK
LINKS_003,links/bbcwildlife_links.nt.bz2,4942,4942,True,True,0o644,2026-07-22T14:06:09Z,OK
LINKS_004,links/bl-example.nt.bz2,16970,16970,True,True,0o644,2026-07-22T14:06:09Z,OK
LINKS_005,links/bookmashup_links.nt.bz2,72117,72117,True,True,0o644,2026-07-22T14:06:09Z,OK
