transformers_version,symbol_or_behavior,present_in_tagged_source,inspection_method,evidence_tag
4.21.3,AdamW,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,AutoConfig,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,AutoTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,Conv1D,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,find_pruneable_heads_and_indices,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,prune_conv1d_layer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,GPT2PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,from_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.21.3,save_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,AdamW,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,AutoConfig,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,AutoTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,Conv1D,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,find_pruneable_heads_and_indices,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,prune_conv1d_layer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,GPT2PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,from_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.24.0,save_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,AdamW,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,AutoConfig,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,AutoTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,Conv1D,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,find_pruneable_heads_and_indices,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,prune_conv1d_layer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,GPT2PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,from_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.25.1,save_pretrained,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,AdamW,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,AutoConfig,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,AutoTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,PreTrainedModel,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,PreTrainedTokenizer,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,get_linear_schedule_with_warmup,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
4.26.1,ACT2FN,True,OFFICIAL_SOURCE_TAG_VERIFIED_raw_github,OFFICIAL_SOURCE_TAG_VERIFIED
